Date,Hits,Percent
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,1,0.000123793
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,3,0.000371379
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,7,0.000866551
2020-02-20,5,0.000618965
2020-02-21,3,0.000371379
2020-02-22,8,0.000990344
2020-02-23,21,0.002599653
2020-02-24,165,0.020425848
2020-02-25,456,0.056449616
2020-02-26,229,0.028348601
2020-02-27,118,0.014607576
2020-02-28,74,0.009160683
2020-02-29,24,0.002971032
2020-03-01,51,0.006313444
2020-03-02,161,0.019930676
2020-03-03,477,0.05904927
2020-03-04,127,0.015721713
2020-03-05,83,0.010274821
2020-03-06,7,0.000866551
2020-03-07,35,0.004332756
2020-03-08,36,0.004456549
2020-03-09,10,0.00123793
2020-03-10,13,0.001609309
2020-03-11,7,0.000866551
2020-03-12,10,0.00123793
2020-03-13,0,0
2020-03-14,30,0.003713791
2020-03-15,39,0.004827928
2020-03-16,26,0.003218618
2020-03-17,184,0.022777915
2020-03-18,209,0.025872741
2020-03-19,94,0.011636544
2020-03-20,119,0.014731369
2020-03-21,100,0.012379302
2020-03-22,21,0.002599653
2020-03-23,160,0.019806883
2020-03-24,341,0.042213419
2020-03-25,191,0.023644466
2020-03-26,105,0.012998267
2020-03-27,49,0.006065858
2020-03-28,132,0.016340678
2020-03-29,66,0.008170339
2020-03-30,193,0.023892052
2020-03-31,183,0.022654122
2020-04-01,257,0.031814806
2020-04-02,138,0.017083436
2020-04-03,181,0.022406536
2020-04-04,27,0.003342411
2020-04-05,38,0.004704135
2020-04-06,48,0.005942065
2020-04-07,224,0.027729636
2020-04-08,315,0.038994801
2020-04-09,215,0.026615499
2020-04-10,43,0.0053231
2020-04-11,175,0.021663778
2020-04-12,174,0.021539985
2020-04-13,142,0.017578609
2020-04-14,380,0.047041347
2020-04-15,364,0.045060659
2020-04-16,79,0.009779648
2020-04-17,45,0.005570686
2020-04-18,29,0.003589998
2020-04-19,9,0.001114137
2020-04-20,76,0.009408269
2020-04-21,48,0.005942065
2020-04-22,166,0.020549641
2020-04-23,114,0.014112404
2020-04-24,1,0.000123793
2020-04-25,37,0.004580342
2020-04-26,20,0.00247586
2020-04-27,14,0.001733102
2020-04-28,58,0.007179995
2020-04-29,83,0.010274821
2020-04-30,62,0.007675167
2020-05-01,35,0.004332756
2020-05-02,10,0.00123793
2020-05-03,82,0.010151027
2020-05-04,16,0.001980688
